role,jobTitle,location,salary
employee,Account Executive,Chicago,120599
employee,UI/UX Designer,New York,116991
employee,Marketing Coordinator,Atlanta,114427
hr,HR Business Partner,Seattle,93473
employee,DevOps Engineer,Denver,86028
employee,DevOps Engineer,Seattle,96663
manager,Director of Operations,Austin,135103
employee,Account Executive,Chicago,116943
employee,DevOps Engineer,Austin,86856
employee,Marketing Coordinator,Boston,129779
employee,Senior Software Engineer,Chicago,75798
employee,Senior Software Engineer,New York,82880
hr,HR Business Partner,Los Angeles,94041
employee,Data Scientist,Denver,72200
employee,Graphic Designer,Miami,100851
employee,Graphic Designer,Boston,112361
employee,Software Engineer,Denver,66342
hr,HR Business Partner,New York,96922
employee,Cloud Architect,Boston,100809
employee,Account Executive,Los Angeles,121865
employee,Sales Development Rep,Austin,106811
employee,SEO Specialist,Miami,126937
employee,UI/UX Designer,Seattle,105482
employee,UI/UX Designer,New York,112350
manager,Product Manager,New York,142224
employee,DevOps Engineer,Los Angeles,96425
employee,Account Executive,Chicago,115105
hr,HR Business Partner,San Francisco,103646
manager,Sales Manager,New York,147429
employee,Account Executive,Los Angeles,116823
employee,Software Engineer,Chicago,69787
manager,Engineering Manager,Los Angeles,141000
employee,Account Executive,Seattle,121219
employee,Account Executive,Atlanta,103838
employee,Data Scientist,Austin,78017
hr,HR Generalist,Atlanta,66650
employee,Marketing Coordinator,Atlanta,112568
employee,UI/UX Designer,Boston,106950
employee,Data Scientist,Miami,76908
employee,SEO Specialist,Miami,125370
employee,Marketing Coordinator,Chicago,124790
employee,Software Engineer,San Francisco,79409
hr,Technical Recruiter,Chicago,83824
hr,HR Generalist,Seattle,79232
employee,Sales Development Rep,Boston,125286
employee,DevOps Engineer,Atlanta,77033
employee,DevOps Engineer,Austin,90273
employee,Data Scientist,Chicago,79109
manager,Product Manager,Denver,120660
employee,DevOps Engineer,Denver,87298
employee,Graphic Designer,Boston,113544
employee,Data Scientist,Los Angeles,82584
employee,SEO Specialist,Los Angeles,127345
employee,Cloud Architect,Chicago,96982
employee,UI/UX Designer,Denver,91355
employee,Software Engineer,San Francisco,78755
employee,QA Tester,Denver,80334
employee,Cloud Architect,Austin,95956
employee,QA Tester,Atlanta,73775
employee,UI/UX Designer,Atlanta,92537
employee,DevOps Engineer,Boston,100287
manager,Product Manager,Boston,141478
employee,Data Scientist,Austin,78343
hr,Compensation Analyst,Denver,85140
employee,Sales Development Rep,Seattle,122590
employee,Cloud Architect,Miami,89539
manager,Product Manager,Atlanta,114958
employee,Senior Software Engineer,Miami,70326
employee,Sales Development Rep,Los Angeles,110070
hr,HR Business Partner,Seattle,96029
manager,Product Manager,New York,147397
employee,QA Tester,San Francisco,102632
employee,QA Tester,Los Angeles,86586
employee,Account Executive,Austin,115208
employee,UI/UX Designer,Los Angeles,101447
employee,Marketing Coordinator,Chicago,117088
hr,Compensation Analyst,Boston,97756
employee,Data Scientist,Miami,80789
employee,DevOps Engineer,Denver,82143
employee,Data Scientist,Boston,85887
employee,Sales Development Rep,Seattle,115150
employee,Cloud Architect,Los Angeles,99699
employee,DevOps Engineer,Denver,82513
employee,QA Tester,Denver,78261
employee,Cloud Architect,Austin,95005
hr,HR Business Partner,Austin,80062
manager,Sales Manager,Seattle,140401
employee,UI/UX Designer,Atlanta,92388
employee,Graphic Designer,New York,123198
hr,HR Generalist,New York,90674
employee,UI/UX Designer,Chicago,95673
employee,Sales Development Rep,Atlanta,100405
employee,UI/UX Designer,Los Angeles,101423
employee,Marketing Coordinator,Atlanta,106324
manager,Sales Manager,Boston,146527
employee,Marketing Coordinator,Austin,115937
employee,Software Engineer,Denver,68215
hr,HR Business Partner,New York,101533
employee,Cloud Architect,Atlanta,88237
manager,Director of Operations,Miami,142095
hr,HR Business Partner,Seattle,89401
manager,Engineering Manager,New York,151768
employee,UI/UX Designer,Austin,95896
employee,Cloud Architect,San Francisco,117670
employee,DevOps Engineer,Atlanta,81561
employee,Marketing Coordinator,New York,133868
employee,Graphic Designer,Los Angeles,114861
employee,SEO Specialist,Atlanta,117190
employee,UI/UX Designer,Denver,92146
manager,Product Manager,San Francisco,153057
employee,Data Scientist,Denver,74576
employee,DevOps Engineer,Miami,90523
hr,Technical Recruiter,Chicago,79053
employee,Cloud Architect,Seattle,97221
manager,Project Manager,Atlanta,107986
employee,Sales Development Rep,Boston,122471
employee,QA Tester,Boston,94205
manager,Project Manager,Boston,136627
employee,QA Tester,Boston,95449
employee,Data Scientist,Austin,79064
employee,Graphic Designer,Miami,103410
employee,SEO Specialist,Los Angeles,133999
hr,HR Generalist,Atlanta,70261
employee,Marketing Coordinator,Atlanta,111735
employee,Cloud Architect,Atlanta,82517
employee,Account Executive,San Francisco,135118
employee,Marketing Coordinator,Miami,121678
employee,Senior Software Engineer,Los Angeles,74772
employee,Account Executive,Denver,108029
employee,Senior Software Engineer,New York,81113
employee,DevOps Engineer,Los Angeles,95259
employee,Account Executive,San Francisco,137013
hr,Technical Recruiter,New York,95679
employee,Marketing Coordinator,Miami,120955
employee,UI/UX Designer,Boston,109802
hr,Technical Recruiter,Seattle,83196
employee,Software Engineer,Chicago,71371
employee,Data Scientist,San Francisco,91618
employee,Account Executive,San Francisco,144320
employee,Data Scientist,Atlanta,74490
employee,DevOps Engineer,New York,105940
employee,Software Engineer,Seattle,71801
manager,Project Manager,Miami,113387
employee,QA Tester,Seattle,86410
hr,HR Business Partner,Chicago,89380
employee,QA Tester,Boston,91779
manager,Product Manager,San Francisco,151564
employee,Software Engineer,Austin,66119
employee,Senior Software Engineer,Atlanta,63327
manager,Product Manager,Denver,117368
employee,Account Executive,Austin,116711
manager,Sales Manager,Seattle,133030
manager,Engineering Manager,Boston,156946
manager,Project Manager,Los Angeles,131454
employee,QA Tester,Los Angeles,89508
employee,Software Engineer,Seattle,73626
employee,Data Scientist,San Francisco,96770
employee,Sales Development Rep,Atlanta,98654
employee,Senior Software Engineer,Seattle,81949
hr,HR Generalist,Denver,74295
hr,HR Business Partner,Austin,81453
employee,SEO Specialist,Boston,136988
employee,UI/UX Designer,Seattle,102536
employee,Marketing Coordinator,Chicago,124579
employee,UI/UX Designer,Atlanta,87671
hr,HR Generalist,Atlanta,69907
manager,Engineering Manager,Miami,135997
employee,Account Executive,Atlanta,104310
employee,DevOps Engineer,Miami,87124
employee,SEO Specialist,Atlanta,114997
employee,SEO Specialist,Miami,122579
employee,Senior Software Engineer,San Francisco,87618
employee,Cloud Architect,Miami,90774
manager,Sales Manager,Chicago,129410
manager,Director of Operations,San Francisco,164545
employee,Graphic Designer,Chicago,102628
employee,Graphic Designer,Austin,98529
hr,HR Generalist,Chicago,74079
employee,Software Engineer,Denver,66747
employee,Cloud Architect,Austin,90757
employee,Sales Development Rep,Denver,101831
hr,HR Business Partner,Los Angeles,92635
employee,Cloud Architect,Miami,88065
hr,Compensation Analyst,Atlanta,79398
employee,Graphic Designer,New York,119247
manager,Product Manager,San Francisco,143865
employee,Cloud Architect,Boston,100065
